Unnamed: 0,id,url,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,buildingCondition,buildingConstructionYear,facedeCount,floodZoneType,heatingType,kitchenType,hasLivingRoom,toiletCount,hasTerrace,epcScore,price
9337,20599465.0,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20599465,HOUSE,HOUSE,4.0,1.0,East Flanders,Ronse,9600,199.0,GOOD,1930.0,2.0,NON_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,2.0,True,D,249000.0
9340,20570970.0,https://www.immoweb.be/en/classified/house/for-sale/ciney/5590/20570970,HOUSE,HOUSE,2.0,1.0,Namur,Ciney,5590,130.0,GOOD,1930.0,4.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,C,265000.0
9344,20452906.0,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/20452906,HOUSE,HOUSE,3.0,1.0,Liège,HUY,4500,187.0,AS_NEW,2022.0,4.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,B,349000.0
9352,20611687.0,https://www.immoweb.be/en/classified/house/for-sale/wemmel/1780/20611687,HOUSE,HOUSE,3.0,2.0,Flemish Brabant,Wemmel,1780,237.0,GOOD,1950.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,2.0,True,B,575000.0
9353,20611020.0,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/20611020,HOUSE,HOUSE,4.0,1.0,Walloon Brabant,Rixensart,1330,185.0,GOOD,1940.0,4.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,C,649000.0
9355,20595767.0,https://www.immoweb.be/en/classified/manor-house/for-sale/gontrode/9090/20595767,HOUSE,MANOR_HOUSE,5.0,2.0,East Flanders,GONTRODE,9090,430.0,TO_BE_DONE_UP,1973.0,4.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,C,665000.0
9356,20520240.0,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20520240,HOUSE,HOUSE,2.0,2.0,East Flanders,Aalst,9300,147.0,TO_BE_DONE_UP,1930.0,2.0,NON_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,2.0,True,F,675000.0
9362,20450090.0,https://www.immoweb.be/en/classified/house/for-sale/moerbeke-waas/9180/20450090,HOUSE,HOUSE,3.0,1.0,East Flanders,Moerbeke-Waas,9180,189.0,GOOD,1991.0,4.0,NON_FLOOD_ZONE,FUELOIL,INSTALLED,True,5.0,True,C,949000.0
9363,20450091.0,https://www.immoweb.be/en/classified/house/for-sale/wachtebeke/9185/20450091,HOUSE,HOUSE,3.0,1.0,East Flanders,Wachtebeke,9185,189.0,GOOD,1991.0,4.0,NON_FLOOD_ZONE,FUELOIL,INSTALLED,True,5.0,True,C,949000.0
9365,20585709.0,https://www.immoweb.be/en/classified/exceptional-property/for-sale/zaventem-sterrebeek/1933/20585709,HOUSE,EXCEPTIONAL_PROPERTY,7.0,4.0,Flemish Brabant,Zaventem Sterrebeek,1933,507.0,AS_NEW,2004.0,4.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,5.0,True,B,990000.0
9383,20652847.0,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20652847,APARTMENT,APARTMENT,2.0,1.0,Brussels,Forest,1190,170.0,AS_NEW,1923.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,2.0,True,E,595000.0
9387,20582021.0,https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20582021,HOUSE,HOUSE,3.0,1.0,Liège,Flémalle,4400,117.0,TO_BE_DONE_UP,1899.0,3.0,POSSIBLE_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,2.0,True,C,179000.0
9400,11215514.0,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/rixensart/1330/11215514,HOUSE,MIXED_USE_BUILDING,6.0,2.0,Walloon Brabant,RIXENSART,1330,322.0,TO_RESTORE,1946.0,3.0,NON_FLOOD_ZONE,FUELOIL,INSTALLED,True,3.0,True,E,450000.0
9401,20056295.0,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20056295,HOUSE,HOUSE,4.0,2.0,Brussels,Woluwe-Saint-Lambert,1200,197.0,GOOD,1935.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,3.0,True,G,749000.0
9402,20578547.0,https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/20578547,HOUSE,VILLA,5.0,3.0,Walloon Brabant,WAVRE,1300,400.0,GOOD,1918.0,4.0,NON_FLOOD_ZONE,FUELOIL,HYPER_EQUIPPED,True,4.0,True,D,1195000.0
9411,20622632.0,https://www.immoweb.be/en/classified/house/for-sale/athus/6791/20622632,HOUSE,HOUSE,3.0,1.0,Luxembourg,ATHUS,6791,148.0,GOOD,1949.0,3.0,NON_FLOOD_ZONE,FUELOIL,SEMI_EQUIPPED,True,2.0,True,D,275000.0
